Verse	N2	N3	N4	N5	N6	N7	N8	Named8	N9	N10	Named10	Text
41012014	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"And when they came, they said to him, ""Teacher, we know that you are truthful and ˻ you do not care what anyone thinks ˼, ˻ because you do not regard the opinion of people ˼ but teach the way of God in truth. Is it permitted to pay taxes to Caesar o"
40026002	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"""You know that after two days the Passover takes place, and the Son of Man will be handed over in order to be crucified."""
41013028	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"""Now learn the parable from the fig tree : Whenever its branch has already become tender and puts forth its leaves, you know that summer is near."
42012030	0	0	1	0	3	1	0	KNOW	0	3	KNOW	For all the nations of the world seek after these things, and your Father knows that you need these things.
43019010	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"So Pilate said to him, ""Will you not speak to me? Do you not know that I have authority to release you, and I have authority to crucify you?"""
40025026	0	0	1	0	3	1	0	KNOW	0	3	KNOW	But his master answered and said to him, ‘ Evil and lazy slave! You knew that I reap where I did not sow and gather from where I did not scatter seed.
42008053	0	0	1	0	3	1	0	KNOW	0	3	KNOW	And they began laughing at him, because they knew that she was dead.
46001016	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	(Now I also baptized the household of Stephanus. Beyond that I do not know if I baptized anyone else.)
41013035	0	0	1	0	3	1	0	KNOW	0	3	KNOW	Therefore be on the alert, for you do not know when the master of the house is coming — whether in the evening, or at midnight, or when the rooster crows, or early in the morning —
43008027	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	(They did not know that he was speaking to them about the Father.)
41009032	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	But they did not understand the statement, and they were afraid to ask him.
42023034	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"〚 But Jesus said, ""Father, forgive them, for they do not know what they are doing."" 〛 And they cast lots to divide his clothes."
41001024	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"saying, ""˻ Leave us alone ˼, Jesus the Nazarene! Have you come to destroy us? I know who you are — the Holy One of God!"""
43015015	0	0	1	0	3	1	0	KNOW	0	3	KNOW	No longer do I call you slaves, because the slave does not know what his master is doing. But I have called you friends, because everything that I have heard from my Father I have revealed to you.
43006006	0	0	1	0	3	1	0	KNOW	0	3	KNOW	(Now he said this to test him, because he knew what he was going to do.)
41001034	0	0	1	0	3	1	0	KNOW	0	3	KNOW	And he healed many ˻ who were sick ˼ with various diseases and expelled many demons. And he did not permit the demons to speak, because they knew him.
43001048	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"Nathanael said to him, ""From where do you know me?"" Jesus answered and said to him, ""Before Philip called you, when you were under the fig tree, I saw you."""
41014071	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"And he began to curse and to swear with an oath, ""I do not know this man whom you are talking about!"""
43007029	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"I know him, because I am from him and he sent me."""
44019015	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"But the evil spirit answered and said to them, ""Jesus I know, and Paul I am acquainted with, but who are you?"""
44019015b	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"But the evil spirit answered and said to them, ""Jesus I know, and Paul I am acquainted with, but who are you?"""
44007018	0	0	1	0	3	1	0	KNOW	0	3	KNOW	until another king arose over Egypt who did not know Joseph.
43014004	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"And you know the way where I am going."""
43010004	0	0	1	0	3	1	0	KNOW	0	3	KNOW	Whenever he sends out all his own, he goes before them, and the sheep follow him because they know his voice.
43004032	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"But he said to them, ""I have food to eat that you do not know about."""
41010019	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"You know the commandments : ‘ Do not murder, do not commit adultery, do not steal, do not give false testimony, do not defraud, honor your father and mother. ’"""
41012024	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"Jesus said to them, ""Are you not deceived because of this, because you do not know the scriptures or the power of God?"
42006008	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"But he knew their thoughts and said to the man who had the withered hand, ""Get up and stand in the middle,"" and he got up and stood there."
40026075	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	"And Peter remembered the statement Jesus had said, ""Before the rooster crows, you will deny me three times,"" and he went outside and wept bitterly."
41011021	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	"And Peter remembered and said to him, ""Rabbi, look! The fig tree that you cursed has withered!"""
42017032	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	Remember Lot’s wife!
42023042	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	"And he said, ""Jesus, remember me when you come into your kingdom!"""
58010032	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	But remember the former days in which, after you were enlightened, you endured a great struggle with sufferings,
43016021	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	A woman, when she gives birth, experiences pain because her hour has come. But when her child is born, she no longer remembers the affliction, on account of the joy that a human being has been born into the world.
42016025	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	But Abraham said, ‘ Child, remember that you received your good things during your life, and Lazarus likewise bad things. But now he is comforted here, but you are suffering pain.
43002022	1	1	0	1	0	3	1	REMEMBER	1	0	REMEMBER	So when he was raised from the dead, his disciples remembered that he had said this, and they believed the scripture and the saying that Jesus had spoken.
43013017	0	0	1	0	3	1	0	KNOW	0	3	KNOW	If you understand these things, you are blessed if you do them.
47001013	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	For we are not writing anything else to you except what you can read or also understand. But I hope that you will understand ˻ completely ˼,
47001014	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	just as you have also understood us in part, that we are your reason for boasting, just as you are also ours in the day of our Lord Jesus.
44008030	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	"So Philip ran up to itand heard him reading aloud Isaiah the prophet and said, ""So then, do you understand what you are reading?"""
41014068	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	"But he denied it, saying, ""I neither know nor understand what you mean!"" And he went out into the gateway, and a rooster crowed."
45008026	0	0	1	0	3	1	0	KNOW	0	3	KNOW	And likewise also, the Spirit helps us in our weakness, for we do not know how to pray as one ought, but the Spirit himself intercedes for uswith unexpressed groanings.
44021037	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"And as he was about to be brought into the barracks, Paul said to the military tribune, ""Is it permitted for me to say something to you?"" And he said, ""Do you know Greek?"
46014016	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	"For otherwise, if you praise in your spirit, how will the one who fills the place of the outsider say the ""amen"" at your thanksgiving, because he does not know what you are saying?"
42012056	0	0	1	0	3	1	0	KNOW	0	3	KNOW	Hypocrites! You know how to evaluate the appearance of the earth and the sky, but how is it you do not know how to evaluate this present time?
42012056b	0	0	1	0	3	1	0	KNOW	0	3	KNOW	Hypocrites! You know how to evaluate the appearance of the earth and the sky, but how is it you do not know how to evaluate this present time?
42014006	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	And they were not able to make a reply to these things.
41001040	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	"And a leper came to him, entreating him and kneeling down and saying to him, ""If you are willing, you are able to make me clean."""
40017016	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	"And I brought him to your disciples, and they were not able to heal him."""
40026061	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	"and said, ""This man said, ‘ I am able to destroy the temple of God and rebuild it within three days. ’"""
40026040	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	"And he came to the disciples and found them sleeping, and he said to Peter, ""So, were you not able to stay awake with me one hour?"
42001022	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	And when he came out he was not able to speak to them, and they realized that he had seen a vision in the temple. And he kept making signs to them, and remained unable to speak.
42013011	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	And behold, a woman was there who had a spirit ˻ that had disabled her ˼ for eighteen years, and she was bent over and not able to straighten herself up completely.
40007018	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	A good tree is not able to produce bad fruit, nor a bad tree to produce good fruit.
42008019	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	Now his mother and brothers came to him, and they were not able to meet with him because of the crowd.
41002004	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	And when they were not able to bring him to him because of the crowd, they removed the roof where he was. And after digging through, they lowered the stretcher on which the paralytic was lying.
41006005	0	2	2	2	5	5	5	BE ABLE	5	5	BE ABLE	And he was not able to do any miracle in that place except to lay his hands on a few sick peopleand heal them.
41006054	0	0	1	0	3	1	0	KNOW	0	3	KNOW	And as they were getting out of the boat, people recognized him immediately.
42024031	0	0	1	0	3	1	0	KNOW	0	3	KNOW	And their eyes were opened, and they recognized him, and he became invisible to them.
40017012	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"But I say to you that Elijah has already come, and they did not recognize him, but did with him whatever they wanted. In the same way also the Son of Man is going to suffer at their hands."""
44012014	0	0	1	0	3	1	0	KNOW	0	3	KNOW	And recognizing Peter’s voice, because of her joy she did not open the gate, but ran in and announced that Peter was standing at the gate.
40007020	0	0	1	0	3	1	0	KNOW	0	3	KNOW	As a result, you will recognize them by their fruits.
42023007	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	And when he found out that he was from the jurisdiction of Herod, he sent him over to Herod, who was also in Jerusalem in those days.
44023034	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	So after reading the letter and asking what province he was from, and learning that he was from Cilicia,
41015045	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	And when he learned of it from the centurion, he granted the corpse to Joseph.
44009030	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	And when the brothers found out, they brought him down to Caesarea and sent him away to Tarsus.
42009011	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	But when the crowds found out, they followed him, and welcoming them, he began to speak to them about the kingdom of God, and he cured those who had need of healing.
43012009	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	Now the large crowd of Jews found out that he was there, and they came, not only because of Jesus, but so that they could see Lazarus also, whom he raised from the dead.
42007037	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	And behold, a woman in the town who was a sinner, when she learned that he was dining in the Pharisee’s house, brought an alabaster flask of perfumed oil,
44019034	0	0	1	0	3	1	0	KNOW	0	3	KNOW	"But when they recognized that he was a Jew, they were shouting with one voice from all of them for about two hours, ""Great is Artemis of the Ephesians!"""
44022029	0	0	1	0	3	1	0	KNOW	0	4	FIND OUT	Then immediately those who were about to examine him kept away from him, and the military tribune also was afraid when he realized that he was a Roman citizen and that ˻ he had tied him up ˼.
