;map.Verse;;X1;X2;X3;X4;X5;X6;X7
44;44023034;So after reading the letter and asking what province he was from , and learning that he was from Cilicia ,;-0,024429842;0,176549275;-0,034762154;0,025834238;-0,014786582;-0,037075072;-1,98E-05
48;43012009;Now the large crowd of Jews found out that he was there , and they came , not only because of Jesus , but so that they could see Lazarus also , whom he raised from the dead .;0,045371972;0,175365445;0,001182497;-0,054517931;-0,001542931;0,037070394;0,040078893
45;41015045;And when he learned of it from the centurion , he granted the corpse to Joseph .;0,051021368;0,17402831;-0,008678002;-0,096871524;0,03237557;0,051806717;0,0583837
49;42007037;And behold , a woman in the town who was a sinner , when she learned that he was dining in the Pharisee’s house , brought an alabaster flask of perfumed oil ,;0,040187985;0,169728666;-0,009942418;-0,066698397;0,000845823;0,040902992;0,011550973
46;44009030;And when the brothers found out , they brought him down to Caesarea and sent him away to Tarsus .;0,046488601;0,145599378;0,008579074;-0,049175779;-0,012592565;-0,016791869;-0,027242314
47;42009011;But when the crowds found out , they followed him , and welcoming them , he began to speak to them about the kingdom of God , and he cured those who had need of healing .;-0,004812072;0,142004679;-0,000995109;-0,072082308;0,000227829;0,001236424;-0,058762007
43;42023007;And when he found out that he was from the jurisdiction of Herod , he sent him over to Herod , who was also in Jerusalem in those days .;0,000163049;0,133545531;-0,030274318;0,008566265;0,020598337;-0,032567836;-0,085912227
51;44022029;Then immediately those who were about to examine him kept away from him , and the military tribune also was afraid when he realized that he was a Roman citizen and that ˻ he had tied him up ˼ .;0,03433781;0,10095109;-0,034491796;0,060863814;-0,01651748;-0,023054573;-0,058104082
50;44019034;But when they recognized that he was a Jew , they were shouting with one voice from all of them for about two hours , “ Great is Artemis of the Ephesians ! ”;0,047771724;0,093011402;0,090295308;0,098987311;-0,048476227;-0,015764949;-0,002192036
41;44012014;And recognizing Peter’s voice , because of her joy she did not open the gate , but ran in and announced that Peter was standing at the gate .;0,042894586;0,05372992;0,16166545;-0,032196547;-0,01253109;-0,004445516;0,037417667
52;42001022b;And when he came out he was not able to speak to them , and they realized that he had seen a vision in the temple . And he kept making signs to them , and remained unable to speak .;0,110487203;0,043313281;0,020717567;0,145199375;-0,003004239;-0,035770997;0,008168964
3;41013028;“ Now learn the parable from the fig tree : Whenever its branch has already become tender and puts forth its leaves , you know that summer is near .;-0,045808633;0,009553143;-0,051799377;0,072881016;0,016989445;0,01326957;0,01964021
7;42008053;And they began laughing at him , because they knew that she was dead .;-0,080181347;0,007685903;-0,051157977;0,035089961;0,018017558;-0,010262494;-0,003198556
4;42012030;For all the nations of the world seek after these things , and your Father knows that you need these things .;-0,084256101;0,006712533;-0,067486896;0,02920433;0,038757071;-0,007244808;-0,023687988
6;40025026;But his master answered and said to him , ‘ Evil and lazy slave ! You knew that I reap where I did not sow and gather from where I did not scatter seed .;-0,083062049;0,004718506;-0,061454159;0,066532512;0,025002008;0,01758483;0,031940765
5;43019010;So Pilate said to him , “ Will you not speak to me ? Do you not know that I have authority to release you , and I have authority to crucify you ? ”;-0,077192004;0,004471109;-0,084469395;0,01768847;-0,016287164;-0,005205834;0,053191891
1;41012014;And when they came , they said to him , “ Teacher , we know that you are truthful and ˻ you do not care what anyone thinks ˼ , ˻ because you do not regard the opinion of people ˼ but teach the way of God in truth . Is it permitted to pay taxes to Caesar or not ? Should we pay or should we not pay ? ”;-0,084555474;0,002276669;-0,073752524;0,028685445;0,023563597;0,009253169;0,016615574
13;43015015;No longer do I call you slaves , because the slave does not know what his master is doing . But I have called you friends , because everything that I have heard from my Father I have revealed to you .;-0,069084555;0,001981226;-0,058845184;0,001420803;-0,072405062;-0,025711156;0,02715779
8;41013035;Therefore be on the alert , for you do not know when the master of the house is coming — whether in the evening , or at midnight , or when the rooster crows , or early in the morning —;-0,078298265;0,001385986;-0,061468975;-0,015774138;-0,045319893;-0,037559941;0,015925811
38;41006054;And as they were getting out of the boat , people recognized him immediately .;0,008253915;-0,001690682;0,179516969;0,026082129;-0,022746341;0,009613791;-0,01206659
14;43006006;( Now he said this to test him , because he knew what he was going to do . );-0,081046129;-0,004993729;-0,062884583;0,018664262;0,036010311;-0,003943006;-0,010966856
2;40026002;“You know that after two days the Passover takes place, and the Son of Man will be handed over in order to be crucified.”;-0,088970271;-0,005357734;-0,058195504;0,015398736;0,035412983;0,02265413;0,014772353
27;42006008;But he knew their thoughts and said to the man who had the withered hand , “ Get up and stand in the middle , ” and he got up and stood there .;-0,051497107;-0,007414065;-0,011552773;-0,009599309;0,020228664;0,005606183;-0,055809122
54;40017013;Then the disciples understood that he had spoken to them about John the Baptist .;0,16728738;-0,007509208;-0,001764563;0,090457766;0,025552814;0,000243773;0,033965436
39;42024031;And their eyes were opened , and they recognized him , and he became invisible to them .;-0,007992565;-0,007956851;0,18879445;0,028720621;-0,000307958;-0,011579902;-0,004034239
55;40016012;Then they understood that he did not say to beware of the leaven of bread , but of the teaching of the Pharisees and Sadducees .;0,171510189;-0,01097623;-0,030813605;0,086677161;0,057491889;-0,010110951;0,033208614
